Name,Product Name,Original Price,Discounted Price
CPU AMD RYZEN 9 5900X (AMD AM4  - 12 CORE - 24 THREAD - BASE 3.7GHZ - TURBO 4.8GHZ - CACHE 70MB - NO IGPU),CPU AMD RYZEN 9 5900X,9.299.000,8.399.000
CPU INTEL CORE I5 12400 (INTEL LGA1700 - 6 CORE - 12 THREAD - BASE 2.5GHZ - TURBO 4.4GHZ - CACHE 18MB),CPU INTEL CORE I5 12400,6.000.000,3.749.000
CPU INTEL CORE I5 13400 (INTEL LGA1700 - 10 CORE - 16 THREAD - BASE 2.5GHZ - TURBO 4.6GHZ - CACHE 20MB),CPU INTEL CORE I5 13400,6.999.000,5.249.000
CPU INTEL CORE I3 14100 (INTEL LGA1700 - 4 CORE - 8 THREAD - BASE 3.5GHZ - TURBO 4.7GHZ - CACHE 12MB),CPU INTEL CORE I3 14100,4.999.000,3.299.000
CPU AMD RYZEN 7 9800X3D  (AMD AM5 - 8 CORE - 16 THREAD - BASE 4.7GHZ - TURBO 5.2GHZ - CACHE 104MB),CPU AMD RYZEN 7 9800X3D,16.499.000,14.599.000
CPU AMD RYZEN 5 4600G (AMD AM4  - 6 CORE - 12 THREAD - BASE 3.7GHZ - TURBO 4.2GHZ - CACHE 11MB),CPU AMD RYZEN 5 4600G,3.099.000,2.699.000
CPU AMD RYZEN 3 4300G (AMD AM4  - 4 CORE - 8 THREAD - BASE 3.8GHZ - TURBO 4.0GHZ - CACHE 6MB),CPU AMD RYZEN 3 4300G,2.999.000,2.479.000
CPU INTEL CORE I3 14100F (INTEL LGA1700 - 4 CORE - 8 THREAD - BASE 3.5GHZ - TURBO 4.7GHZ - CACHE 12MB),CPU INTEL CORE I3 14100F,3.999.000,2.699.000
CPU AMD RYZEN 3 4100 3.8 GHZ (HÀNG GIÁ SỐC),CPU AMD RYZEN 3 4100 3.8 GHZ,2.499.000,1.669.000
CPU AMD RYZEN 5 5600X (AMD AM4  - 6 CORE - 12 THREAD - BASE 3.7GHZ - TURBO 4.6GHZ - CACHE 35MB - NO IGPU),CPU AMD RYZEN 5 5600X,8.499.000,3.499.000
CPU INTEL CORE I7 12700F (INTEL LGA1700 - 12 CORE - 20 THREAD - BASE 2.1GHZ - TURBO 4.9GHZ - CACHE 25MB - NO IGPU),CPU INTEL CORE I7 12700F,8.699.000,6.599.000
CPU INTEL CORE I9 14900K (INTEL LGA1700 - 24 CORE - 32 THREAD - BASE 3.2GHZ - TURBO 6.0GHZ - CACHE 36MB),CPU INTEL CORE I9 14900K,19.999.000,13.599.000
CPU INTEL CORE I5 14400 (INTEL LGA1700 - 10 CORE - 16 THREAD - BASE 2.5GHZ - TURBO 4.7GHZ - CACHE 20MB),CPU INTEL CORE I5 14400,7.999.000,5.499.000
CPU AMD RYZEN 9 5900X,CPU AMD RYZEN 9 5900X ,9.299.000,8.399.000
CPU INTEL CORE I5 13400F (INTEL LGA1700 - 10 CORE - 16 THREAD - BASE 2.5GHZ - TURBO 4.6GHZ - CACHE 20MB - NO IGPU),CPU INTEL CORE I5 13400F,6.199.000,4.399.000
CPU INTEL CORE I7 14700K (INTEL LGA1700 - 20 CORE - 28 THREAD - BASE 3.4GHZ - TURBO 5.6GHZ - CACHE 33MB),CPU INTEL CORE I7 14700K,13.999.000,10.599.000
CPU INTEL CORE I5 14400F (INTEL LGA1700 - 10 CORE - 16 THREAD - BASE 2.5GHZ - TURBO 4.7GHZ - CACHE 20MB),CPU INTEL CORE I5 14400F,6.999.000,4.599.000
CPU INTEL CORE I3 12100F (INTEL LGA1700 - 4 CORE - 8 THREAD - BASE 3.3GHZ - TURBO 4.3GHZ - CACHE 12MB - NO IGPU),CPU INTEL CORE I3 12100F,2.999.000,1.999.000
CPU INTEL CORE I7 14700KF (INTEL LGA1700 - 20 CORE - 28 THREAD - BASE 3.4GHZ - TURBO 5.6MHZ - CACHE 33MB - NO IGPU),CPU INTEL CORE I7 14700KF,13.499.000,9.799.000
CPU INTEL CORE I5 14500 (INTEL LGA1700 - 14 CORE - 20 THREAD - BASE 2.6GHZ - TURBO 5.0GHZ - CACHE 24MB),CPU INTEL CORE I5 14500,7.999.000,6.599.000
CPU INTEL PENTIUM GOLD G7400 (INTEL LGA1700 - 2 CORE - 4 THREAD - BASE 3.7GHZ - CACHE 6MB),CPU INTEL PENTIUM GOLD G7400,2.399.000,2.299.000
CPU INTEL CORE I3 13100F (INTEL LGA1700 - 4 CORE - 8 THREAD - BASE 3.4GHZ - TURBO 4.5GHZ - CACHE 12MB - NO IGPU),CPU INTEL CORE I3 13100F,3.499.000,2.649.000
CPU INTEL CORE I5 14600K (INTEL LGA1700 - 14 CORE - 20 THREAD - BASE 3.5GHZ - TURBO 5.3GHZ - CACHE 24MB),CPU INTEL CORE I5 14600K,9.399.000,6.699.000
CPU INTEL CORE I7 14700F (INTEL LGA1700 - 20 CORE - 28 THREAD - BASE 2.1GHZ - TURBO 5.4GHZ - CACHE 33MB),CPU INTEL CORE I7 14700F,12.999.000,8.399.000
CPU AMD RYZEN 9 9950X (AMD AM5 - 16 CORE - 32 THREAD - BASE 4.3GHZ - TURBO 5.7GHZ - CACHE 80MB),CPU AMD RYZEN 9 9950X,20.299.000,18.199.000
