Product Name,Original Price,Discounted Price
VGA ASUS PH-GT1030-O2G,3.299.000,2.099.000
VGA Asus ROG STRIX RTX 4060 OC 8GB GAMING,13.999.000,10.899.000
VGA Asus DUAL RTX 4060 OC 8GB V2 (DUAL-RTX4060-O8G-V2),8.999.000,7.999.000
VGA Asus GT730-SL-2GD5-BRK,1.999.000,1.449.000
VGA Asus ProArt GeForce RTX 4060 Ti OC 16GB GDDR6 (PROART-RTX4060TI-O16G),18.999.000,14.999.000
VGA ASUS Dual GeForce RTX 3060 V2 OC 12GB GDDR6 (DUAL-RTX3060-O12G-V2),12.999.000,7.749.000
VGA Asus ROG STRIX RTX 4060 TI OC 8GB GAMING (ROG-STRIX-RTX4060TI-O8G-GAMING),16.999.000,13.999.000
VGA Asus DUAL  RTX 3050 OC 6GB (DUAL-RTX3050-O6G),5.999.000,4.699.000
VGA Asus ProArt GeForce RTX 4080 SUPER 16GB GDDR6X OC Edition (PROART-RTX4080S-O16G),44.999.000,34.999.000
VGA ASUS TUF Gaming GeForce RTX 4070 Ti SUPER 16GB GDDR6X OC Edition (TUF-RTX4070TIS-O16G-GAMING),33.999.000,25.999.000
VGA ASUS Dual GeForce RTX 3060 V2 12GB GDDR6 (DUAL-RTX3060-12G-V2),9.999.000,7.749.000
VGA MSI RTX 3050 VENTUS 2X XS 8GB OC,6.999.000,5.749.000
VGA Gigabyte RTX 3060 GAMING OC 8GB (N3060GAMING OC-8GD),8.699.000,7.459.000
VGA Gigabyte RTX 4060 Ti Windforce OC 16GB (N406TWF2 OC -16GD),15.599.000,13.699.000
VGA Gigabyte GeForce RTX 3050 WINDFORCE OC V2 8GB (N3050WF2OCV2-8GD),6.399.000,5.599.000
VGA Asrock Phantom Gaming Radeon RX 550 4GB,2.399.000,2.049.000
VGA Inno3D Geforce RTX 4060 Ti 16GB TWIN X2 16GB GDDR6,14.999.000,12.199.000
VGA Gigabyte RTX 4060 Windforce OC 8GB (N4060WF2OC_8GD),11.999.000,7.999.000
VGA Colorful iGame GeForce RTX 3060 Ultra White OC 12G L-V,11.999.000,8.499.000
VGA INNO3D GEFORCE RTX 3050 6GB TWIN X2 6GB GDDR6,5.599.000,4.599.000
VGA Gigabyte RTX 3060 GAMING OC 8GB (Giá sốc),8.699.000,7.459.000
VGA MSI RTX 3050 VENTUS 2X 6GB OC,5.999.000,4.699.000
VGA Colorful iGame GeForce RTX 4060 Ti Ultra White DUO OC 16GB-V,16.999.000,12.999.000
VGA Asus DUAL RX 6600 8GB V3 (DUAL-RX6600-8G-V3),6.099.000,5.499.000
VGA GIGABYTE Radeon RX 6600 EAGLE 8GB GDDR6 (GV-R66EAGLE-8GD),6.099.000,5.599.000
VGA Gigabyte GeForce RTX 3060 WINDFORCE OC 12GB (N3060WF2OC -12GD),8.999.000,7.749.000
VGA GIGABYTE GeForce RTX 3060 GAMING OC 12G (Giá sốc),11.990.000,8.499.000
VGA MSI RTX 4060 VENTUS 2X BLACK 8GB OC,9.999.000,7.999.000
VGA Colorful iGame GeForce RTX 4060 Ti Ultra White DUO OC 16GB-V ( giá sốc),16.999.000,12.999.000
VGA Gigabite GeForce GT 710 GV-N710D3-2GL,1.784.000,1.699.000
VGA Gigabyte RTX 3060 GAMING OC 8GB (Giá sốc),8.699.000,7.459.000
VGA MSI RTX 3050 VENTUS 2X 6GB OC,5.999.000,4.699.000
VGA Colorful iGame GeForce RTX 4060 Ti Ultra White DUO OC 16GB-V,16.999.000,12.999.000
VGA Asus DUAL RX 6600 8GB V3 (DUAL-RX6600-8G-V3),6.099.000,5.499.000
VGA GIGABYTE Radeon RX 6600 EAGLE 8GB GDDR6 (GV-R66EAGLE-8GD),6.099.000,5.599.000
VGA Gigabyte GeForce RTX 3060 WINDFORCE OC 12GB (N3060WF2OC -12GD),8.999.000,7.749.000
VGA GIGABYTE GeForce RTX 3060 GAMING OC 12G (Giá sốc),11.990.000,8.499.000
VGA MSI RTX 4060 VENTUS 2X BLACK 8GB OC,9.999.000,7.999.000
VGA Colorful iGame GeForce RTX 4060 Ti Ultra White DUO OC 16GB-V ( giá sốc),16.999.000,12.999.000
VGA Gigabite GeForce GT 710 GV-N710D3-2GL,1.784.000,1.699.000
VGA Gigabyte GeForce RTX 4090 WINDFORCE V2 24GB (N4090WF3V2-24GD),65.999.000,62.999.000
VGA MSI Geforce RTX 4060 Ti GAMING X SLIM White 16GB,16.999.000,15.299.000
VGA Gigabyte RTX 3050 Windforce OC 6GB (N3050WF2OC -6GD) (4 cổng xuất hình 2xHDMI và 2xDP),5.899.000,4.699.000
VGA MSI RTX 4070 VENTUS 3X E1 12GB OC,19.999.000,17.299.000
VGA Gigabyte GeForce RTX 4060 Ti AERO OC 16GB (N406TAERO OC-16GD),17.999.000,15.099.000
VGA Gigabyte RTX 4070 Ti Super Windforce OC 16GB GDDR6X (N407TSWF3 OC-16GD),34.999.000,25.599.000
VGA Gigabyte RTX 4070 Gaming OC V2 12GB (N4070GAMING OC V2-12GD),22.999.000,18.999.000
VGA MSI Geforce RTX 4060 Ti GAMING X SLIM 16GB,16.999.000,15.199.000
VGA MSI GeForce GTX 1650 4GB DDR6 VENTUS XS OCV3,4.499.000,3.799.000
