Product Name,Score,Normalized Score (%)
AMD RYZEN 7 9800X3D,12206,100.0
INTEL CORE ULTRA 9 285K,11172,91.53
AMD RYZEN 9 7900X3D,10889,89.21
AMD RYZEN 5 7600X3D,10717,87.8
AMD RYZEN 7 7800X3D,10331,84.64
AMD RYZEN 9 7950X3D,9870,80.86
INTEL CORE ULTRA 7 265K,9453,77.45
INTEL CORE ULTRA 5 245K,9310,76.27
INTEL CORE I9-14900KS,9252,75.8
AMD RYZEN 5 5600X3D,8942,73.26
INTEL CORE I9-13900KS,8610,70.54
AMD RYZEN 7 5800X3D,8368,68.56
AMD RYZEN 9 9900X,8273,67.78
INTEL CORE I9-14900K,8206,67.23
INTEL CORE I9-14900KF,8165,66.89
INTEL CORE I9-13900K,7900,64.72
AMD RYZEN 7 5700X3D,7861,64.4
INTEL CORE I7-14700KF,7738,63.4
INTEL CORE I9-13900KF,7626,62.48
INTEL CORE I7-14700K,7573,62.04
AMD RYZEN THREADRIPPER PRO 7945WX,7440,60.95
AMD RYZEN 9 7900X,7436,60.92
INTEL CORE I9-14900F,7403,60.65
AMD RYZEN 9 7900,7354,60.25
INTEL CORE I9-13900F,7309,59.88
INTEL CORE I5-14600KF,7125,58.37
INTEL CORE I9-14900HX,7116,58.3
AMD RYZEN 5 9600X,7088,58.07
INTEL CORE I9-13950HX,7003,57.37
INTEL CORE I5-14600K,6993,57.29
AMD RYZEN 9 9950X,6951,56.95
INTEL CORE I9-13900HX,6917,56.67
AMD RYZEN THREADRIPPER PRO 7955WX,6902,56.55
INTEL CORE I9-14900,6877,56.34
INTEL CORE I7-13700KF,6874,56.32
INTEL CORE I9-13980HX,6815,55.83
INTEL CORE I7-13700K,6797,55.69
INTEL CORE I9-13900,6753,55.33
INTEL CORE I9-13900T,6691,54.82
AMD RYZEN 9 7945HX3D,6603,54.1
INTEL CORE I5-13600KF,6561,53.75
INTEL CORE I5-13600K,6561,53.75
INTEL CORE I9-14900T,6458,52.91
AMD RYZEN 9 7950X,6419,52.59
INTEL CORE I7-14700F,6405,52.47
AMD RYZEN 5 7600X,6374,52.22
INTEL CORE I7-14700,6371,52.2
AMD RYZEN 7 9700X,6302,51.63
INTEL CORE I7-13850HX,6291,51.54
INTEL CORE I9-12900KS,6252,51.22
INTEL CORE I7-14700HX,6228,51.02
AMD RYZEN 9 7845HX,6199,50.79
AMD RYZEN 5 7500F,6182,50.65
AMD RYZEN 5 7600,6138,50.29
INTEL CORE I7-14650HX,6045,49.52
INTEL CORE I9-13900HK,5960,48.83
INTEL CORE I9-13905H,5940,48.66
INTEL CORE I7-13700F,5800,47.52
AMD RYZEN 7 7700X,5793,47.46
INTEL CORE ULTRA 9 185H,5774,47.3
INTEL CORE I7-13800H,5661,46.38
INTEL CORE I5-14500,5634,46.16
INTEL CORE I5-14500HX,5617,46.02
AMD RYZEN 7 7700,5547,45.44
INTEL CORE I7-13700,5538,45.37
AMD RYZEN 9 7945HX,5525,45.26
INTEL CORE I9-12900K,5514,45.17
INTEL CORE I5-13490F,5483,44.92
INTEL CORE I9-13900H,5461,44.74
INTEL CORE I5-13600,5460,44.73
INTEL CORE I9-12950HX,5431,44.49
