Product Name,Original Price,Discounted Price
"CPU INTEL CORE ULTRA 5 245K (UP TO 5.2GHZ, 14 NHÂN 14 LUỒNG, 24MB CACHE, 125W) - SOCKET INTEL LGA 1851/ARROW LAKE",9.999.000₫,8.999.000₫
"CPU INTEL CORE I3-13100 (UP TO 4.5GHZ, 4 NHÂN 8 LUỒNG, 12MB CACHE, 65W) - SOCKET INTEL LGA 1700/RAPTOR LAKE)",4.199.000₫,3.399.000₫
CPU INTEL CORE I5-12400 (TRAY-KHÔNG TẢN NHIỆT),4.999.000₫,3.299.000₫
"CPU INTEL CORE I5-13400F (UP TO 4.6GHZ, 10 NHÂN 16 LUỒNG, 20MB CACHE, 65W) - SOCKET INTEL LGA 1700/RAPTOR LAKE)",6.599.000₫,4.399.000₫
CPU INTEL CORE I5-12400F (TRAY-KHÔNG TẢN NHIỆT),4.599.000₫,2.699.000₫
"CPU INTEL PENTIUM GOLD G6405 (4.1GHZ, 2 NHÂN 4 LUỒNG, 4MB CACHE, 58W) - SOCKET INTEL LGA 1200)",0,1.799.000₫
"CPU INTEL CORE ULTRA 9 285K (UP TO 5.5GHZ, 24 NHÂN 24 LUỒNG, 36MB CACHE, 125W) - SOCKET INTEL LGA 1851/ARROW LAKE",17.999.000₫,17.699.000₫
"CPU INTEL CORE ULTRA 7 265K (UP TO 5.5GHZ, 20 NHÂN 20 LUỒNG, 30MB CACHE, 125W) - SOCKET INTEL LGA 1851/ARROW LAKE",12.999.000₫,11.999.000₫
"CPU INTEL CORE I5-12400 (TRAY, CŨ ĐẸP)",4.999.000₫,3.199.000₫
"CPU INTEL CORE I3-12100F (TRAY, CŨ ĐẸP)",2.799.000₫,1.499.000₫
"CPU INTEL CORE ULTRA 7 265KF (UP TO 5.5GHZ, 20 NHÂN 20 LUỒNG, 30MB CACHE, 125W) - SOCKET INTEL LGA 1851/ARROW LAKE",12.199.000₫,11.599.000₫
CPU INTEL CORE I3-12100 (TRAY-KHÔNG TẢN NHIỆT),3.399.000₫,2.599.000₫
"CPU INTEL CORE ULTRA 5 245KF (UP TO 5.2GHZ, 14 NHÂN 14 LUỒNG, 24MB CACHE, 125W) - SOCKET INTEL LGA 1851/ARROW LAKE",9.999.000₫,8.499.000₫
"CPU INTEL CORE I7-13700K (UP TO 5.4GHZ, 16 NHÂN 24 LUỒNG, 24MB CACHE, 125W) - SOCKET INTEL LGA 1700/RAPTOR LAKE)",13.399.000₫,9.599.000₫
"CPU INTEL CORE I5-10400 (TRAY, KHÔNG VỎ HỘP)",4.299.000₫,3.299.000₫
"CPU INTEL CORE I5-10400F (TRAY, KHÔNG VỎ HỘP)",3.899.000₫,2.299.000₫
"CPU INTEL CORE I5-13400F (TRAY, CŨ ĐẸP)",4.999.000₫,3.999.000₫
"CPU INTEL CORE I5-13400 (TRAY, CŨ ĐẸP)",6.599.000₫,5.099.000₫
"CPU INTEL CORE I3-14100 (UP TO 4.7GHZ, 4 NHÂN 8 LUỒNG, 12MB CACHE, 60W) - SOCKET INTEL LGA 1700/RAPTOR LAKE",4.399.000₫,3.399.000₫
"CPU INTEL CORE I5-12400F (UPTO 4.4GHZ, 6 NHÂN 12 LUỒNG, 18MB CACHE, 65W) - SOCKET INTEL LGA 1700)",3.999.000₫,2.899.000₫
"CPU INTEL CORE I5-13400 (UP TO 4.6GHZ, 10 NHÂN 16 LUỒNG, 20MB CACHE, 65W) - SOCKET INTEL LGA 1700/RAPTOR LAKE)",6.299.000₫,5.249.000₫
"CPU INTEL CORE I7-12700K (3.8GHZ TURBO UP TO 5.0GHZ, 12 NHÂN 20 LUỒNG, 25MB CACHE, 125W) - SOCKET INTEL LGA 1700/ALDER LAKE)",11.599.000₫,7.659.000₫
"CPU INTEL CORE I5-14400 (UP TO 4.7GHZ, 10 NHÂN 16 LUỒNG, 20MB CACHE, 65W) - SOCKET INTEL LGA 1700/RAPTOR LAKE",6.999.000₫,5.499.000₫
"CPU INTEL CORE I7-12700 (3.6GHZ TURBO UP TO 4.9GHZ, 12 NHÂN 20 LUỒNG, 25MB CACHE, 65W) - SOCKET INTEL LGA 1700)",9.999.000₫,7.399.000₫
"CPU INTEL CORE I7-14700F (UP TO 5.4GHZ, 20 NHÂN 28 LUỒNG, 33MB CACHE, 65W) - SOCKET INTEL LGA 1700/RAPTOR LAKE",11.099.000₫,8.399.000₫
CPU INTEL CORE I5-13400F (TRAY-KHÔNG TẢN NHIỆT),5.999.000₫,4.099.000₫
"CPU INTEL CORE I7-14700K (UP TO 5.6GHZ, 20 NHÂN 28 LUỒNG, 33MB CACHE, 125W) - SOCKET INTEL LGA 1700/RAPTOR LAKE",12.999.000₫,10.599.000₫
