Product Name,Original Price,Discounted Price
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
CARD MÀN HÌNH ASUS ROG STRIX-RTX 4060 TI-O8G-GAMING,,13.999.000₫
CARD MÀN HÌNH ASUS ROG STRIX RTX 4080 SUPER-16G-GAMING,43.999.000₫,37.599.000₫
CARD MÀN HÌNH ASUS DUAL-RTX 3060-O12G-V2,8.999.000₫,7.799.000₫
CARD MÀN HÌNH ASUS DUAL-RTX 3050-O6G,5.999.000₫,4.699.000₫
CARD MÀN HÌNH ASUS ROG TRIX RTX 4070 SUPER-12G GAMING,23.299.000₫,22.999.000₫
CARD MÀN HÌNH ASUS PROART RTX 4070 TI SUPER-O16G,32.999.000₫,29.199.000₫
,,
CARD MÀN HÌNH ASUS DUAL-RTX 3060-O12G-V2,8.999.000₫,7.799.000₫
CARD MÀN HÌNH ASUS PRIME-RTX 4070 SUPER-12G,,19.999.000₫
CARD MÀN HÌNH ASUS DUAL-RTX 3050-O6G,5.999.000₫,4.699.000₫
CARD MÀN HÌNH ASUS ROG TRIX RTX 4070 SUPER-12G GAMING,23.299.000₫,22.999.000₫
CARD MÀN HÌNH ASUS TUF RTX4090- 24G-OG GAMING,69.999.000₫,59.999.000₫
CARD MÀN HÌNH ASUS ROG STRIX-RTX 4090-O24G-BTF-GAMING,75.999.000₫,68.999.000₫
CARD MÀN HÌNH ASUS ROG STRIX-RTX 4090-O24G-GAMING WHITE,71.999.000₫,62.999.000₫
CARD MÀN HÌNH ASUS ROG STRIX-RTX 4090-O24G-GAMING,65.999.000₫,62.999.000₫
CARD MÀN HÌNH ASUS RTX 4080 SUPER-O16G-NOCTUA,43.999.000₫,36.999.000₫
CARD MÀN HÌNH ASUS PRIME-RTX 4070 SUPER-O12G,22.999.000₫,20.299.000₫
CARD MÀN HÌNH ASUS DUAL RTX 4070 SUPER-O12G-EVO,21.999.000₫,18.799.000₫
CARD MÀN HÌNH ASUS TUF RTX 4070 SUPER-O12G GAMING,21.699.000₫,20.999.000₫
CARD MÀN HÌNH ASUS DUAL RTX 4070 SUPER-O12G WHITE,21.199.000₫,19.999.000₫
CARD MÀN HÌNH ASUS PROART RTX 4070 TI SUPER-O16G,32.999.000₫,29.199.000₫
CARD MÀN HÌNH ASUS TUF RTX 4070 TI SUPER-O16G-GAMING WHITE EDITION,32.999.000₫,26.999.000₫
CARD MÀN HÌNH ASUS DUAL-RTX 4060 TI-O16G-EVO,15.999.000₫,14.299.000₫
CARD MÀN HÌNH ASUS ROG STRIX RTX 4080 SUPER-16G-GAMING,43.999.000₫,37.599.000₫
CARD MÀN HÌNH ASUS DUAL-RTX 3060-12G-V2,8.999.000₫,7.749.000₫
CARD MÀN HÌNH ASUS ROG STRIX RTX 4070 TI SUPER-O16G-GAMING,35.999.000₫,30.499.000₫
CARD MÀN HÌNH ASUS ROG STRIX-RTX 4060 TI-O8G-GAMING,17.999.000₫,13.999.000₫
CARD MÀN HÌNH ASUS TUF RTX 4080 SUPER-O16G-GAMING,39.999.000₫,34.999.000₫
CARD MÀN HÌNH ASUS TUF RTX 4080 SUPER-16G-GAMING,43.999.000₫,32.599.000₫
