Product Name,Original Price,Discounted Price
CARD MÀN HÌNH GALAX GEFORCE RTX 4070 12G 1-CLICK OC 2X,15.990.000Đ,14.990.000Đ
CARD MÀN HÌNH GIGABYTE RTX 4070 SUPER EAGLE OC 12G,22.290.000Đ,20.990.000Đ
CARD MÀN HÌNH ASUS PRIME GEFORCE RTX 4070 SUPER 12GB GDDR6X OC EDITION,22.890.000Đ,20.490.000Đ
CARD MÀN HÌNH MSI RTX 4070 GAMING X TRIO 12GB,20.490.000Đ,18.790.000Đ
CARD MÀN HÌNH MSI GEFORCE RTX 4070 VENTUS 2X E 12G OC,17.470.000Đ,16.490.000Đ
CARD MÀN HÌNH ASUS DUAL GEFORCE RTX 4070 OC 12GB GDDR6X,20.460.000Đ,17.190.000Đ
CARD MÀN HÌNH COLORFUL IGAME GEFORCE RTX 4070 ULTRA W OC V2-V,21.670.000Đ,16.990.000Đ
CARD MÀN HÌNH MSI GEFORCE RTX 4090 GAMING X TRIO 24G,58.900.000Đ,56.900.000Đ
CARD MÀN HÌNH MSI GEFORCE RTX 4070 GAMING X SLIM WHITE 12G,21.000.000Đ,19.390.000Đ
CARD MÀN HÌNH ASUS PROART RTX 4080 SUPER 16GB GDDR6X OC EDITION,39.900.000Đ,34.990.000Đ
CARD MÀN HÌNH ASUS PROART GEFORCE RTX 4060 TI OC 16GB GDDR6,15.390.000Đ,14.990.000Đ
CARD MÀN HÌNH INNO3D GEFORCE RTX 3060 TWIN X2 12GB,9.900.000Đ,7.350.000Đ
CARD MÀN HÌNH GIGABYTE GEFORCE RTX 3060 WINDFORCE OC 12GB (N3060WF2OC -12GD),9.990.000Đ,7.990.000Đ
CARD MÀN HÌNH ASUS DUAL RTX 4060 EDITION OC 8GB GDDR6 EVO,9.990.000Đ,7.990.000Đ
CARD MÀN HÌNH GALAX GEFORCE RTX 4070 12G 1-CLICK OC 2X,15.990.000Đ,14.990.000Đ
CARD MÀN HÌNH EVGA RTX 3090 TI FTW3 ULTRA GAMING 24GB GDDR6X ICX3,40.000.000Đ,38.990.000Đ
CARD MÀN HÌNH INNO3D RTX 4070 SUPER X3 OC - 3 FAN,17.890.000Đ,16.990.000Đ
CARD MÀN HÌNH COLORFUL GTX 1650 EX 4GD6-V,6.790.000Đ,3.790.000Đ
CARD MÀN HÌNH GALAX GEFORCE RTX 4060 8G OC 2X 1- CLICK,9.090.000Đ,7.990.000Đ
CARD MÀN HÌNH COLORFUL IGAME GEFORCE RTX 3060 ULTRA WHITE OC 12G-V,12.400.000Đ,8.690.000Đ
CARD MÀN HÌNH INNO3D GEFORCE RTX 4060 TI 16GB TWIN X2 BLACK,14.590.000Đ,12.450.000Đ
CARD MÀN HÌNH MSI RTX 3050 VENTUS 2X 6G OC,6.990.000Đ,4.990.000Đ
CARD MÀN HÌNH COLORFUL GEFORCE RTX 4060 NB DUO 8GB-V,9.600.000Đ,8.250.000Đ
